ssn,badgeNum,rank,pName
564490768,57346,Deputy,1st
894284304,40968,Commander,157th
839815698,53193,Deputy,151st
421483033,32800,Lieutenant,130th
474927642,50523,Cadet,28th
421081627,98344,Trooper,164th
679957019,94384,Regular,134th
922341919,49202,Sergeant,66th
549261855,73782,Sergeant,185th
128045601,16439,Deputy,62nd
104444450,98360,Cadet,31st
813019683,32832,Trooper,11th
713323046,81987,Lieutenant,180th
591712806,57412,Lieutenant,192nd
509760040,41041,Lieutenant,63rd
632222250,65621,Deputy,57th
505459248,49239,Deputy,89th
669028914,16472,Trooper,108th
373240373,41052,Regular,89th
917254709,16483,Commander,178th
382759478,65637,Sergeant,100th
890507830,32872,Trooper,112th
535343674,41089,Deputy,26th
563196475,32899,Commander,70th
943821374,32911,Deputy,113th
340038210,73878,Major,176th
687239747,90279,Deputy,3rd
114537030,82105,Commander,19th
523334214,19101,Trooper,43rd
826339914,98498,Sergeant,149th
256995915,32967,Regular,21st
926167632,90318,Commander,1st
434811473,82129,Major,39th
412979792,82135,Trooper,37th
993227344,41180,Regular,89th
247108180,24798,Deputy,51st
563917397,98553,Major,42nd
468111958,73986,Major,148th
307991127,49411,Deputy,104th
213578330,90373,Major,45th
686330462,24841,Lieutenant,89th
433468000,57611,Lieutenant,52nd
707695201,98576,Trooper,145th
304468577,41238,Lieutenant,80th
385618531,13921,Trooper,140th
913330784,16673,Commander,133rd
320320099,33061,Sergeant,86th
726053478,82215,Sergeant,141st
510866025,24878,Major,112th
135164523,57650,Commander,82nd
391942766,74038,Deputy,19th
902894193,49466,Sergeant,37th
259306098,74050,Regular,144th
441864818,74075,Major,195th
354169462,65887,Lieutenant,49th
830722679,82272,Sergeant,78th
602780280,57712,Cadet,58th
149942905,41331,Lieutenant,192nd
847000188,98677,Regular,96th
869864064,57718,Sergeant,151st
983519873,57720,Deputy,121st
352481923,16767,Commander,117th
985322117,90499,Regular,27th
753439365,65933,Lieutenant,5th
957026955,98714,Sergeant,58th
209089164,24990,Lieutenant,75th
838423180,74150,Sergeant,50th
470602382,51953,Commander,25th
158618255,25000,Regular,172nd
986829460,41388,Cadet,158th
576320148,33208,Major,125th
422097561,74171,Sergeant,47th
315929242,43765,Lieutenant,163rd
266883740,82370,Sergeant,50th
508031647,65991,Lieutenant,150th
799559686,41420,Cadet,44th
811168419,98765,Sergeant,154th
795415204,33230,Major,29th
206344868,98772,Deputy,27th
461902502,98781,Cadet,129th
248124067,41438,Deputy,42nd
749105832,98785,Major,80th
792703656,49634,Sergeant,88th
593310376,80635,Major,140th
768807595,41455,Trooper,133rd
168350381,82420,Major,35th
353866417,66047,Cadet,63rd
427913907,66057,Sergeant,9th
537334455,90635,Deputy,138th
817394361,49685,Cadet,158th
469537466,74270,Commander,65th
538718907,82496,Major,14th
315773628,90694,Commander,172nd
812307134,12385,Commander,119th
847762113,49744,Regular,58th
799961793,41553,Sergeant,21st
484061893,25173,Lieutenant,1st
604607177,82524,Cadet,73rd
346141387,66145,Deputy,99th
564884179,16994,Regular,54th
691213012,98925,Deputy,108th
960844501,74350,Major,126th
714978010,66160,Regular,175th
331576026,36968,Sergeant,123rd
626143964,17010,Deputy,186th
553095898,41595,Commander,96th
657502944,90751,Lieutenant,130th
976941793,25216,Sergeant,14th
872084193,49796,Cadet,146th
722457313,74379,Major,184th
968954596,41614,Cadet,66th
804877029,17044,Cadet,84th
277762789,41625,Lieutenant,69th
671970023,49821,Sergeant,107th
767242983,33444,Cadet,131st
531206889,98985,Sergeant,93rd
416396009,25267,Deputy,106th
686019305,66234,Major,111th
270168811,41662,Commander,139th
633967338,66255,Lieutenant,178th
515658478,33498,Trooper,36th
981611240,33508,Cadet,191st
743183088,74472,Regular,142nd
809808627,58089,Lieutenant,28th
543683316,33518,Major,98th
574132983,82687,Cadet,133rd
684421880,41733,Commander,188th
797070073,74506,Lieutenant,109th
861049591,41740,Commander,53rd
159560443,58126,Cadet,163rd
598938367,17170,Deputy,53rd
293802752,41747,Regular,165th
489403137,49943,Commander,74th
763998975,25378,Regular,135th
417870592,82723,Regular,61st
374223615,41769,Regular,146th
238408453,49977,Trooper,151st
587576071,49978,Cadet,73rd
409580296,41796,Cadet,115th
706171657,66375,Deputy,49th
108786442,82764,Regular,172nd
298529547,33614,Commander,44th
629715724,30182,Trooper,10th
120713996,74602,Regular,166th
308433683,82799,Cadet,2nd
595718934,66422,Commander,97th
759886617,74622,Deputy,61st
455185183,33667,Deputy,5th
335852324,99214,Major,89th
885347111,58261,Sergeant,124th
724505384,91035,Major,66th
865833769,91039,Major,150th
719794986,25506,Commander,99th
753341227,99237,Trooper,167th
718025515,33711,Trooper,147th
108294955,50099,Deputy,119th
445141805,33718,Cadet,191st
274740015,41912,Deputy,22nd
770659119,17340,Lieutenant,127th
357454641,41917,Deputy,101st
353432370,58302,Major,17th
121090865,41929,Trooper,103rd
306623284,62969,Regular,10th
174068529,66534,Sergeant,80th
485462838,17387,Regular,188th
376181552,66541,Commander,118th
960836402,50165,Major,7th
909022009,91126,Regular,63rd
828617529,99324,Trooper,6th
534369082,17414,Major,182nd
984412987,58380,Major,145th
267686719,99344,Major,169th
451859263,74771,Lieutenant,53rd
130609985,53773,Deputy,172nd
182096708,99361,Commander,194th
210498375,50213,Regular,145th
887329608,23388,Deputy,175th
437441355,74794,Regular,77th
549286733,58412,Lieutenant,41st
617018189,82995,Major,142nd
210244431,66613,Commander,170th
749310799,17465,Trooper,193rd
406786897,42043,Commander,20th
393098061,42056,Trooper,126th
447402830,83022,Trooper,43rd
808801108,99409,Regular,185th
609112917,99419,Deputy,43rd
707359574,17500,Major,70th
257856343,66658,Deputy,8th
285651803,97126,Lieutenant,85th
944296797,17518,Deputy,100th
118223710,17521,Major,86th
419697503,42100,Major,49th
614339424,66677,Commander,6th
369062754,37055,Deputy,20th
884904804,83081,Lieutenant,155th
164148068,33930,Major,134th
117683047,91275,Sergeant,108th
554505065,74900,Cadet,6th
384054123,66718,Cadet,124th
173241196,58553,Regular,168th
327480175,25787,Commander,132nd
555881329,74940,Deputy,19th
208606068,99522,Trooper,192nd
782291833,66763,Commander,181st
927929210,68472,Cadet,147th
831607675,50387,Regular,136th
592712571,50390,Commander,136th
563950460,31609,Deputy,121st
213783420,17624,Major,84th
852571003,91377,Deputy,189th
929092484,91385,Commander,145th
111522692,99588,Commander,39th
983708551,34060,Lieutenant,149th
186749832,17685,Trooper,11th
248247177,42264,Trooper,67th
107328393,61965,Sergeant,121st
846451599,50470,Cadet,61st
322327442,50473,Sergeant,134th
559174546,50477,Regular,166th
236876694,17713,Lieutenant,158th
696513433,99635,Trooper,172nd
718836634,90334,Trooper,111th
578859938,34102,Sergeant,148th
470807462,50490,Trooper,122nd
510227367,42303,Deputy,110th
369300392,58689,Major,40th
708465574,76684,Lieutenant,31st
180827052,17738,Cadet,111th
525669294,25933,Commander,19th
351032240,58702,Deputy,72nd
419894194,34138,Cadet,24th
218256307,66907,Regular,159th
670528436,17756,Commander,73rd
383488949,50531,Sergeant,149th
889336758,25971,Trooper,45th
561189819,17790,Trooper,36th
784135100,27541,Cadet,122nd
946557885,58760,Commander,104th
807646142,12524,Major,69th
600060864,66957,Cadet,56th
886395849,91534,Commander,51st
515126220,75153,Sergeant,152nd
409400271,34201,Commander,105th
596833233,99745,Lieutenant,166th
277017555,17830,Cadet,156th
525628373,34227,Major,175th
132715478,67003,Deputy,66th
775156695,91586,Deputy,5th
551236566,42436,Trooper,73rd
141169628,17866,Trooper,139th
174142434,26060,Major,77th
710243300,17869,Trooper,119th
339923941,42454,Commander,136th
950178791,26071,Deputy,12th
115848167,75233,Commander,147th
170234858,67054,Trooper,191st
474641386,99825,Regular,60th
687526894,83442,Lieutenant,75th
278090739,83448,Commander,103rd
562148340,42494,Commander,119th
669152244,83457,Commander,70th
660820979,58891,Trooper,118th
304780283,58913,Regular,172nd
696333308,83491,Deputy,23rd
360272893,50726,Deputy,47th
930288639,26151,Cadet,141st
437277696,26152,Lieutenant,112th
299185152,94471,Regular,42nd
645313538,17966,Sergeant,23rd
962237443,67165,Deputy,58th
547632132,20744,Commander,58th
911463430,91706,Lieutenant,155th
737776646,83525,Lieutenant,19th
462050312,50759,Trooper,142nd
877270025,17993,Regular,133rd
409900042,18001,Trooper,90th
676721675,80826,Cadet,158th
267777036,34408,Major,115th
641037320,99961,Trooper,108th
475911183,91771,Commander,178th
973911058,99969,Lieutenant,163rd
593040406,34438,Major,152nd
624325659,42638,Sergeant,46th
703206427,34448,Major,150th
799061022,59027,Trooper,149th
588379167,59036,Deputy,159th
