ssn,iNumber
889736846,2172
106114707,1943
442429076,346
805121685,2078
277261974,340
571543191,342
667823771,814
296423068,817
506523294,2916
341544607,713
971435681,2857
358870690,2856
416337572,1702
687115940,1705
722292390,1060
851930790,1063
184364712,2315
898404012,1066
298978989,427
841985710,1666
581807793,290
868142770,1128
338988723,1129
130182836,593
393006781,199
837365438,596
388976319,270
880783041,2829
517279426,277
508538563,278
345272006,2543
392318663,2381
185118408,527
944746183,523
689163978,1403
282013387,1402
178392778,2261
945565387,2266
845598414,529
587984597,2264
380710613,1013
553357015,2769
502238936,448
852618967,2446
518377175,1338
468758235,1232
415305437,443
218435295,2761
853012193,446
377941730,588
426643170,104
276467428,456
652742373,902
598871782,903
190574308,2044
233115361,2045
950169321,2043
767413993,904
420802284,1842
743796465,36
472927990,2048
482463479,1537
502206200,643
371379967,644
731885311,439
616951553,436
705351425,2167
255954691,2163
426848000,2162
415895301,330
193711871,1908
407949063,2481
527191816,855
841264904,857
560967435,859
326618892,2684
953872139,2249
505016081,90
796086035,1991
318869267,1624
696307478,1999
736243478,348
903581468,2862
695717660,2863
952078110,559
528133919,555
705089312,550
812748577,552
352603939,2947
146050853,2946
646623014,237
678530855,2942
220720935,232
658943790,1312
510570289,1051
988696370,1053
910946099,2340
678481716,2222
457731893,2221
775696183,1697
568651575,1695
356208441,1693
273108791,1690
615141179,1691
832212798,146
780644159,1176
590827329,145
127127365,1173
253914949,1270
346558278,1271
891375432,1272
615550793,1274
179015494,1178
121925449,1889
722177870,1880
692088658,2121
561385300,2122
805130071,2083
253292376,2084
506646362,2085
243265371,2539
149221212,684
869650269,1571
293769056,1570
776679267,680
928673642,1304
550752106,2713
881536880,2710
436359027,2716
493424500,1302
949137269,130
658739060,137
636071799,627
754831224,490
383995764,492
685977467,493
997363579,24
547843971,1836
861835140,1835
632663939,28
667758470,1371
184987527,1373
542166920,2402
727371661,402
757862286,1376
411905933,2015
858197904,2017
522661778,2011
809529234,935
411250580,2503
878604181,1957
562769812,1956
341159831,1951
115978131,1950
225505174,1958
663490462,371
186871713,827
213544871,826
312987560,820
175083433,377
169881514,822
380981164,2907
465350573,2905
117567409,2909
277458865,703
743075763,619
574107571,176
762408885,398
282791861,2309
420425661,1711
115552190,1716
518139840,799
509824963,7
348196806,1653
866561992,1651
497037260,585
471592909,580
740822989,1987
208728015,1132
622669774,1135
609767374,246
833007570,2831
874090451,2830
109383636,2578
743059414,2575
969879511,2279
761196505,2278
531861466,2570
573714403,519
513814503,2374
152678379,2377
657985519,1003
496914415,2459
924200948,625
564662265,1220
736120827,2455
431788028,451
675311618,454
741617666,2453
192516102,1875
526725126,179
421810184,1083
451391497,172
666193930,1879
770641930,2055
856068108,978
639537165,2118
416526350,1505
226881547,1509
679546897,2627
862097428,1911
582144022,1910
512274455,869
634482710,18
602198041,863
702033943,865
295424027,866
408064031,2020
729894945,2698
778842146,2694
310988835,2691
839225379,1968
547344421,1618
419999777,1616
423571494,1617
815498240,1471
401518633,774
457240619,776
333762604,770
377712685,2978
780316715,1572
354545712,2970
749391924,2974
576491572,2330
773238839,2238
849760312,2333
182603831,2337
814477368,1681
683831353,1685
108310593,686
805425220,1265
579268676,660
423350344,2097
385396809,2098
767701066,1546
565416009,1547
789319759,691
824840274,2521
685002835,2520
308670548,2488
760229970,2486
508686422,1549
436506711,543
398970969,547
587673690,544
924037215,1781
905687136,1465
182579296,1467
888385632,2240
448172131,1462
873918561,1317
169824357,11
429543526,990
987508838,1311
639381608,1310
989786217,2386
487460971,999
685371502,2469
931467377,2840
223121523,126
229716084,1400
116674677,1828
285487224,1824
419680379,2412
540700796,2141
170004605,2062
147001475,419
742756484,317
159969412,315
186052744,1922
779694225,2768
514207892,1925
294629527,495
386314392,1230
762441882,2517
853430426,831
853242010,835
732590235,2664
608014495,2661
961769633,2939
216354980,2935
249483432,2930
567169193,380
930107563,381
827699375,385
601141423,785
784969905,787
934916271,1643
557559987,1642
540291252,1722
499060917,1721
507162805,2292
381374646,2191
640512184,63
610111673,155
110694586,257
355643580,2804
861573309,255
760221887,2154
634998977,1588
670822593,2205
512676034,2206
813576389,1426
432222406,2560
313544909,1039
907260111,734
950210770,2369
489633745,2367
251629785,2365
976031962,1036
818778332,500
350974172,1035
485495004,2428
894071011,1359
724488420,637
485495014,465
681726184,466
215011563,39
254079211,462
213447950,1848
924176625,1869
687050995,162
737718517,964
589730038,965
625520887,966
897847544,2158
683299065,2897
499749109,1454
280400124,1456
301658365,1450
568611069,1103
607383807,1100
471290113,1101
351588613,2516
216879366,1516
926839047,1458
347304200,1108
964604169,1512
170111240,2736
281284874,2639
569422090,2732
870404365,2733
489214222,2631
312127759,2739
742101264,254
824586511,2034
258609426,2168
171741459,890
886812948,893
719204622,894
149647638,896
859050263,898
845672720,434
597397785,1978
982503706,1086
192368927,1600
961212705,1974
487092516,1604
411365670,806
510497063,359
598839593,768
774517034,2847
736588073,766
959090985,1786
616190249,1775
945565995,2321
714493072,1078
783135034,1779
892539195,1299
504156475,1679
312308032,572
413552960,1674
859066691,280
939364675,1676
822972741,282
146092357,285
864194887,284
724701512,1094
954511689,1157
845992266,264
489034059,2499
204845383,2999
875393353,1552
914993480,1557
454455631,2556
706793808,1556
187748688,2990
558313810,2559
994693460,2493
734122327,56
822448473,2995
183521628,1565
595169630,1418
923636063,2394
693825888,2395
986657120,2259
264319328,1558
787181923,2257
380932452,1295
772223333,2250
680907109,1323
107008364,2473
172708204,2773
209834351,986
155881840,2776
667349360,112
459239794,2787
788779380,2782
259895668,2789
635441530,2788
674763133,429
526446974,2171
530616704,918
439685504,2178
120877443,1528
178311555,2075
463688069,1390
495931779,1933
236278151,1936
288223624,846
815403396,843
477409674,374
956002702,797
894448015,1738
538276243,1634
614437268,1635
113119636,1733
538694038,752
168817043,1329
923832728,2813
255570326,561
543879581,562
379253150,563
547033502,2818
916296096,2182
131289511,2181
658837927,2180
128946601,2187
760656297,1593
992129451,2184
518214058,2954
889295275,2188
399577518,2950
164860335,222
690319791,2217
520270257,1188
128750002,1022
207270317,1029
475083179,1181
686617014,727
929665463,1034
958534076,2352
952840640,1747
515183042,2357
773247427,2354
256659909,151
443036104,1167
288182729,1209
528060873,154
503017930,1163
223310284,2431
174625231,2137
151744982,46
451334617,950
910725594,45
925659610,42
843551195,956
107999713,1446
685986273,1298
911331810,1365
285389287,5
950243816,2509
409530857,1440
976679400,1296
848261613,2502
547336687,1363
406745585,2649
913175027,2721
718033396,2645
951931383,2425
463385079,489
121434619,486
776204796,482
277664263,1805
245985800,2002
562639367,1367
380154378,2001
936768011,477
925577738,2009
171135501,1368
