ssn,iNumber
870465692,2172
794502870,1943
668287375,346
419135532,2078
493324061,340
745628049,342
875799496,814
420103116,817
868811757,2916
365691102,713
334611398,2857
924410809,2856
158885452,1702
847636044,1705
165995619,1060
823034980,1063
401826089,2315
413566057,1066
276357908,427
960111666,1666
457195851,290
245695633,1128
694928532,1129
906003149,593
553304300,199
182862542,596
750379310,270
221578107,2829
220700978,277
593305908,278
663429712,2543
930472327,2381
523715189,527
392103029,523
402122083,1403
945710434,1402
807273727,2261
394993928,2266
198705781,529
332980479,2264
853771343,1013
281740107,2769
112124422,448
256280177,2446
627369269,1338
557057241,1232
936337914,443
247087943,2761
724443650,446
678085319,588
113377416,104
710590992,456
996254728,902
691848200,903
958596892,2044
722904864,2045
692840223,2043
344015880,904
280741511,1842
930545924,36
152756228,2048
341607862,1537
444662536,643
966828808,644
447980025,439
237076979,436
922943639,2167
219414677,2163
246399124,2162
684851587,330
477267632,1908
482992623,2481
807896042,855
977814507,857
927540204,859
117581418,2684
240328942,2249
548937851,90
649127681,1991
233588231,1624
819365638,1999
821756311,348
961102738,2862
482599882,2863
284566818,559
758080152,555
242344594,550
831013518,552
953123839,2947
301491465,2946
365019421,237
844006636,2942
837935385,232
868721961,1312
124036193,1051
828752993,1053
770187595,2340
513786071,2222
986177749,2221
330368584,1697
171623997,1695
473556540,1693
280315446,1690
201778743,1691
159162551,146
120415412,1176
445949228,145
757818542,1173
528950511,1270
719856880,1271
717038834,1272
871998708,1274
447079606,1178
641050264,1889
251668125,1880
168730730,2121
657793132,2122
892190769,2083
143614001,2084
348241972,2085
990167452,2539
341214007,684
723412420,1571
392586692,1570
880305946,680
617563424,1304
113771290,2713
995017499,2710
162997027,2716
614049054,1302
186181268,130
721584302,137
956162801,627
887038531,490
423641672,492
220619311,493
230244388,24
315909765,1836
583575171,1835
842752207,28
672408911,1371
406242639,1373
901013918,2402
908304848,402
112305496,1376
739575562,2015
303834776,2017
575653644,2011
851944486,935
531030542,2503
644244893,1957
143886049,1956
334505696,1951
963462876,1950
416704224,1958
344900011,371
264905683,827
877528018,826
981099466,820
971473149,377
978494410,822
237700195,2907
651486304,2905
833078373,2909
860177145,703
252200477,619
782541015,176
488169927,398
145973545,2309
112952908,1711
391808591,1716
283378497,799
785383440,7
153413142,1653
380569111,1651
248718021,585
983532221,580
983680765,1987
163906708,1132
593478808,1135
979829024,246
703767429,2831
933241723,2830
577127036,2578
679584910,2575
268517656,2279
924410134,2278
112271982,2570
696091245,519
498960098,2374
409231747,2377
541484104,1003
902349274,2459
478446320,625
128287955,1220
605430234,2455
181412363,451
169796108,454
662520279,2453
186893979,1875
618538246,179
790873202,1083
388006099,172
381929117,1879
516530238,2055
963142719,978
763797609,2118
403572134,1505
229705132,1509
376832702,2627
210372277,1911
979855026,1910
203850741,869
819240978,18
496395247,863
684073961,865
413730175,866
577324821,2020
336143117,2698
825787148,2694
485262970,2691
468387561,1968
260367866,1618
253240824,1616
477103608,1617
376702362,1471
730407794,774
686277493,776
917488341,770
611599395,2978
561628618,1572
564315155,2970
285705242,2974
621543740,2330
150290659,2238
741433662,2333
236806466,2337
836535853,1681
337339956,1685
987783994,686
254584043,1265
765395736,660
314851414,2097
354828377,2098
260638136,1546
810395065,1547
672580414,691
466027050,2521
424231465,2520
101868026,2488
122831351,2486
936854969,1549
213443214,543
281535121,547
417112719,544
273720944,1781
785769881,1465
128550298,1467
895672548,2240
411272601,1462
224077097,1317
374005778,11
791733314,990
255501607,1311
334046500,1310
125755789,2386
492995655,999
594076218,2469
936002453,2840
444129437,126
971957601,1400
320169602,1828
973473405,1824
778895779,2412
933454491,2141
805584916,2062
956809757,419
568395430,317
929833311,315
595273408,1922
589128514,2768
402065097,1925
741729015,495
452502744,1230
444886156,2517
954296013,831
120284123,835
570335962,2664
852615901,2661
308618241,2939
182846457,2935
923730935,2930
446210330,380
610419138,381
746455492,385
216449758,785
370819984,787
502810129,1643
705177104,1642
652396113,1722
578856523,1721
780796186,2292
825483442,2191
447406177,63
908936049,155
436453666,257
592126822,2804
110321952,255
743604361,2154
521037271,1588
202965188,2205
453805496,2206
319858034,1426
506168409,2560
468673625,1039
171107147,734
293790071,2369
389865839,2367
949600618,2365
425395294,1036
252559951,500
232891485,1035
150118846,2428
566805825,1359
243615132,637
245006877,465
997892638,466
251519035,39
649011735,462
169264778,1848
193554074,1869
815293500,162
794944568,964
484729913,965
278815802,966
561152144,2158
300655593,2897
789652882,1454
858342805,1456
342541712,1450
438396039,1103
852092024,1100
774685825,1101
616907297,2516
472909232,1516
443745686,1458
139789452,1108
620397998,1512
399393591,2736
675177166,2639
474587154,2732
566788921,2733
106816705,2631
742219866,2739
886359472,254
268199703,2034
176758938,2168
363701248,890
452125698,893
108520451,894
145581058,896
840991749,898
820126194,434
778692340,1978
681428080,1086
421602787,1600
391014121,1974
142665202,1604
963716027,806
189251724,359
445448843,768
439518137,2847
359482219,766
312714866,1786
