ssn,birthdate,name
152756228,1994-11-21,A
514727944,1997-11-14,Aaliyah
913211401,1995-12-25,Aaron
524525581,2006-02-26,Abagail
177520656,2001-03-17,Abbey
785383440,2017-10-01,Abbie
208961554,1988-06-15,Abbigail
474587154,1999-06-13,Abby
374005778,2000-06-16,Abdiel
874496021,2004-02-02,Abdul
851853333,1996-12-12,Abdullah
805584916,1988-07-26,Abe
819240978,2006-03-23,Abel
189644825,2017-09-05,Abigail
790913052,2004-12-26,Abigale
230244388,2004-09-15,Abigayle
438796324,1990-12-13,Abner
296828965,1983-10-24,Abraham
454819883,1986-05-04,Abram
419135532,1985-06-25,Abril
648986668,2010-07-12,Ada
465780784,2013-03-15,Adah
892190769,1986-06-13,Adalberto
143614001,2004-12-24,Adaline
348241972,2002-02-28,Adam
374857784,2013-12-07,Adan
251519035,1995-05-21,Addie
669974587,2010-04-27,Addison
519389245,1987-11-12,Adela
516530238,1995-10-28,Adelaida
549822534,1991-08-12,Adelaide
729292871,1983-03-03,Adelard
630784073,1983-10-05,Adelbert
989716554,1996-02-03,Adele
964632650,1981-01-11,Adelia
314851414,2010-07-08,Adelina
354828377,1994-03-17,Adeline
742219866,1980-08-02,Adell
518791261,2014-10-12,Adella
938205278,1996-04-25,Adelle
664518751,1986-04-25,Aden
676601953,2015-12-25,Adolf
447406177,2012-10-21,Adolfo
655204452,2014-03-01,Adolph
463265895,1986-02-11,Adolphus
763797609,1997-02-07,Adonis
870670441,1992-08-17,Adrain
168730730,2008-03-17,Adrian
657793132,2014-02-27,Adriana
715907184,1987-05-26,Adriane
458735730,2011-04-28,Adrianna
676683891,1996-03-23,Adrianne
612262002,1988-02-04,Adriel
910639222,2017-02-21,Adrien
404275320,2002-07-16,Adrienne
158171256,1990-08-26,Afton
548937851,2000-06-24,Agatha
998776957,2010-05-04,Agnes
380199039,1984-09-16,Agustin
171442304,1983-12-16,Agustina
619954308,1982-03-26,Ahmad
461021319,2014-09-11,Ahmed
113377416,1981-10-28,Aida
912810120,2008-03-21,Aidan
743604361,1997-06-13,Aiden
189251724,2003-04-03,Aileen
561152144,2010-11-25,Aimee
388038800,1980-02-06,Aisha
132497555,2012-10-18,Aiyana
246399124,2010-04-04,Aja
219414677,1985-07-28,Akeem
337133719,2006-05-06,Al
922943639,1980-12-12,Alaina
176758938,1992-07-08,Alan
306684059,1987-06-21,Alana
870465692,1992-11-03,Alanis
444129437,1992-11-07,Alanna
476856478,2006-04-14,Alayna
450019487,2017-06-17,Alba
424525981,2009-04-08,Albert
625328290,1986-09-21,Alberta
398598306,1987-01-25,Albertha
551379109,1996-11-03,Albertine
573702313,2001-04-24,Alberto
730783916,1996-06-05,Albin
