reportNum,cDatetime,cAddress,cDescription,cName,clerkSsn
4026,4/15/2016 16:36,476Grove Ave,Suspect commited the crime of Attempted murder. They used a overexertion.,Attempted murder,800868125
4027,1/7/2016 22:42,886Maple Ave,Suspect commited the crime of Wildlife smuggling. They used a sign.,Wildlife smuggling,622520100
4024,1/3/2017 20:53,956Encanto St,Suspect commited the crime of Trespassing. They used a lantern.,Trespassing,391743260
3725,7/6/2014 13:05,838McLellan Rd,Suspect commited the crime of Bribery. They used a barometer.,Bribery,494094118
5982,3/12/2016 17:30,536Princess Dr,Suspect commited the crime of Blackmail. They used a tepee.,Blackmail,168036135
5983,12/2/2014 14:20,765Fountain St,Suspect commited the crime of Treason. They used a cart.,Treason,912590623
5981,12/11/2014 20:51,808Enrose St,Suspect commited the crime of Embezzlement. They used a cultivator.,Embezzlement,236308258
5984,1/28/2017 11:03,677Tower Ave,Suspect commited the crime of Stalking. They used a basketball.,Stalking,842966821
3995,7/10/2016 20:19,435McLellan Rd,Suspect commited the crime of Burglary. They used a spectacle.,Burglary,655124269
3993,1/15/2017 13:16,885Impala Ave,Suspect commited the crime of Obscenity. They used a hourglass.,Obscenity,269059886
3992,4/7/2014 19:40,978Dartmouth Rd,Suspect commited the crime of Burglary. They used a junior.,Burglary,328648495
3990,5/10/2017 21:12,294Keating Ave,Suspect commited the crime of Bribery. They used a bunghole.,Bribery,603006766
4931,5/14/2016 20:42,738Oakland St,Suspect commited the crime of Domestic violence. They used a sill.,Domestic violence,539223861
4737,4/20/2017 18:10,122San Tan St,Suspect commited the crime of Tax evasion. They used a plant.,Tax evasion,793651001
2318,12/25/2017 18:32,251Ingram,Suspect commited the crime of Wildlife smuggling. They used a disco.,Wildlife smuggling,285165370
2317,6/7/2014 11:58,113Galveston St,Suspect commited the crime of Assault. They used a conversation.,Assault,559892281
4739,2/27/2015 13:49,891seton Dr,Suspect commited the crime of Home invasion. They used a fanlight.,Home invasion,337135419
2313,12/25/2014 20:02,951Decatur St,Suspect commited the crime of Wildlife smuggling. They used a pancake.,Wildlife smuggling,516859709
2310,6/2/2015 14:43,590Mountain View Park,Suspect commited the crime of Larceny. They used a sand.,Larceny,735766333
2311,6/7/2017 20:15,860Palm St,Suspect commited the crime of Stealing. They used a compulsion.,Stealing,517203776
3683,12/12/2017 15:00,857Ingram,Suspect commited the crime of Public indecency. They used a endothelium.,Public indecency,877799236
5856,6/20/2014 13:57,210Dartmouth Rd,Suspect commited the crime of Fraud. They used a thaw.,Fraud,121251654
5852,11/14/2014 21:10,375Merino Ave,Suspect commited the crime of Burglary. They used a loyalty.,Burglary,833234759
3681,9/10/2015 11:36,813Stephens Cir,Suspect commited the crime of Vandalism. They used a townhouse.,Vandalism,361170761
3776,10/28/2016 15:52,8726th St,Suspect commited the crime of Resisting arrest. They used a weasel.,Resisting arrest,850585417
3775,1/18/2014 13:12,418Brown Rd,Suspect commited the crime of Assault. They used a vanity.,Assault,575153993
4523,9/28/2014 23:09,793Ivanhoe St,Suspect commited the crime of Murder. They used a peanut.,Murder,165971792
3779,1/6/2015 10:03,322Hulet Dr,Suspect commited the crime of Treason. They used a fountain.,Treason,605521745
4655,2/27/2017 18:28,433Merino Ave,Suspect commited the crime of Shoplifting. They used a cartoon.,Shoplifting,799262546
4657,5/20/2017 17:00,481Galveston St,Suspect commited the crime of Smuggling. They used a lunch.,Smuggling,550111058
4658,2/5/2015 20:29,196Bircher,Suspect commited the crime of Rioting. They used a samovar.,Rioting,680322899
2261,7/28/2016 22:06,125Greenway St,Suspect commited the crime of Libel. They used a brother.,Libel,491579221
2267,1/13/2017 18:13,912seton Dr,Suspect commited the crime of Murder. They used a mayor.,Murder,114870101
2443,7/10/2014 13:35,147Halifax St,Suspect commited the crime of Wildlife smuggling. They used a wad.,Wildlife smuggling,188925787
2444,12/2/2016 16:17,392San Tan St,Suspect commited the crime of Domestic violence. They used a rotate.,Domestic violence,650372955
4811,11/22/2015 14:31,811Palm St,Suspect commited the crime of Attempted murder. They used a response.,Attempted murder,121259869
4810,7/13/2016 15:37,807Javelina Ave,Suspect commited the crime of Resisting arrest. They used a disengagement.,Resisting arrest,530433883
2042,12/4/2014 18:34,211seton Dr,Suspect commited the crime of Racketeering. They used a garden.,Racketeering,556820318
2043,4/25/2015 14:11,254Oakland St,Suspect commited the crime of Loitering. They used a impact.,Loitering,592455516
4815,12/21/2017 14:56,825Princess Dr,Suspect commited the crime of Tax evasion. They used a spirit.,Tax evasion,122570593
2048,2/27/2017 23:42,787Ellis St,Suspect commited the crime of Abduction. They used a example.,Abduction,203016034
2638,8/4/2017 22:58,648Princess Dr,Suspect commited the crime of Embezzlement. They used a cartridge.,Embezzlement,907446120
2834,2014-05-00 16:30:56,433Hermosa,Suspect commited the crime of Public indecency. They used a sari.,Public indecency,785008490
3513,6/27/2017 19:31,293Bircher,Suspect commited the crime of Public indecency. They used a nickel.,Public indecency,225445739
3512,11/5/2016 22:03,535Camino St,Suspect commited the crime of Vandalism. They used a eyeglasses.,Vandalism,951445356
3510,11/6/2014 15:09,700Evergreen St,Suspect commited the crime of Kidnapping. They used a historian.,Kidnapping,488654706
2685,11/27/2015 23:23,515Encanto St,Suspect commited the crime of Battery. They used a pvc.,Battery,101205875
2687,6/22/2015 15:05,229Stephens Cir,Suspect commited the crime of Arson. They used a clarinet.,Arson,881223540
2680,7/25/2015 19:51,412Shannon St,Suspect commited the crime of Murder. They used a hunger.,Murder,853968759
2681,12/18/2015 23:24,151Oakland St,Suspect commited the crime of Public indecency. They used a counter-force.,Public indecency,351414136
2682,10/11/2015 23:49,856Jarvis Ave,Suspect commited the crime of Rioting. They used a paddle.,Rioting,105441145
5406,5/7/2015 14:07,834Hermosa,Suspect commited the crime of Perjury. They used a china.,Perjury,835512186
4527,8/10/2017 18:36,118Julep St,Suspect commited the crime of Shoplifting. They used a piece.,Shoplifting,814606205
5181,9/20/2016 14:19,517Maple Ave,Suspect commited the crime of Homicide. They used a invention.,Homicide,342181759
3202,6/8/2014 12:18,9646th St,Suspect commited the crime of Fraud. They used a bafflement.,Fraud,815089537
5185,6/4/2015 10:36,630Tower Ave,Suspect commited the crime of Home invasion. They used a honeybee.,Home invasion,895100802
5188,6/1/2017 18:51,555seton Dr,Suspect commited the crime of Domestic violence. They used a deer.,Domestic violence,241403779
5189,11/11/2016 18:59,529Galveston St,Suspect commited the crime of Stealing. They used a pannier.,Stealing,369575812
3535,12/7/2017 11:22,523Guadalupe Rd,Suspect commited the crime of Embezzlement. They used a room.,Embezzlement,321636228
2861,6/2/2017 20:47,572Impala Ave,Suspect commited the crime of Embezzlement. They used a sycamore.,Embezzlement,951027587
2863,6/1/2016 11:26,641Extension,Suspect commited the crime of Public intoxication. They used a crib.,Public intoxication,459859851
2867,1/1/2017 22:16,455Adobe Rd,Suspect commited the crime of Homicide. They used a poland.,Homicide,401459083
3539,1/21/2014 12:24,660Evergreen St,Suspect commited the crime of Bank Robbery. They used a interloper.,Bank Robbery,226027405
2744,3/23/2017 19:32,199Gable Ave,Suspect commited the crime of Libel. They used a tanzania.,Libel,856459150
3349,10/8/2017 22:06,763Fox St,Suspect commited the crime of Smuggling. They used a book.,Smuggling,454453136
5451,11/6/2014 16:56,493Camelback Village,Suspect commited the crime of Illegal entry. They used a mexico.,Illegal entry,220735377
3340,8/22/2016 16:52,702San Tan St,Suspect commited the crime of Racketeering. They used a handle.,Racketeering,137815953
3346,1/25/2017 16:16,518Dartmouth Rd,Suspect commited the crime of Homicide. They used a computer.,Homicide,814778262
5456,2/11/2016 19:50,634Decatur St,Suspect commited the crime of Treason. They used a methane.,Treason,977856409
4259,10/16/2017 21:16,145Juniper,Suspect commited the crime of Impersonator. They used a pantyhose.,Impersonator,259385243
4251,9/25/2017 21:21,940Dartmouth Rd,Suspect commited the crime of Kidnapping. They used a sand.,Kidnapping,714393504
4250,9/16/2014 15:34,430San Tan St,Suspect commited the crime of Obscenity. They used a pick.,Obscenity,204441506
