id,ssn,iNumber,soName,date
1,889736846,2172,Under Parole,1992-5-12
2,106114707,1943,Under Investigation,1981-1-28
3,442429076,346,Under Investigation,2004-7-14
4,805121685,2078,In Jail,2008-11-11
5,277261974,340,Arrested,1989-9-15
6,571543191,342,In Jail,2013-9-2
7,667823771,814,Under Investigation,2013-9-4
8,296423068,817,Arrested,2013-4-17
9,506523294,2916,Under Investigation,2008-11-18
10,341544607,713,In Jail,1990-12-13
11,971435681,2857,Under Parole,1986-2-2
12,358870690,2856,Arrested,1996-2-1
13,416337572,1702,Under Parole,1986-10-26
14,687115940,1705,In Jail,2009-3-14
15,722292390,1060,Under Parole,2010-7-2
16,851930790,1063,In Jail,2012-9-21
17,184364712,2315,Under Parole,1983-2-11
18,898404012,1066,Under Investigation,1989-4-16
19,298978989,427,Under Parole,2011-1-1
20,841985710,1666,In Jail,2017-11-18
21,581807793,290,Arrested,1984-6-23
22,868142770,1128,In Jail,1985-11-27
23,338988723,1129,In Jail,2013-7-16
24,130182836,593,Under Investigation,1991-10-24
25,393006781,199,In Jail,2002-5-13
26,837365438,596,Arrested,2016-3-17
27,388976319,270,Under Parole,1987-2-23
28,880783041,2829,Under Investigation,1999-7-12
29,517279426,277,Arrested,1999-3-8
30,508538563,278,In Jail,2003-4-18
31,345272006,2543,In Jail,2009-12-6
32,392318663,2381,Arrested,1991-5-17
33,185118408,527,In Jail,1995-4-2
34,944746183,523,Under Parole,1981-4-22
35,689163978,1403,Arrested,2010-3-17
36,282013387,1402,Under Parole,2001-12-4
37,178392778,2261,In Jail,1987-9-5
38,945565387,2266,Under Investigation,1998-1-11
39,845598414,529,In Jail,1982-7-24
40,587984597,2264,Under Investigation,1997-8-22
41,380710613,1013,Arrested,2001-9-11
42,553357015,2769,In Jail,2010-10-24
43,502238936,448,Under Investigation,1997-8-27
44,852618967,2446,In Jail,2014-4-27
45,518377175,1338,Under Parole,1983-5-26
46,468758235,1232,In Jail,1999-1-17
47,415305437,443,Under Parole,1983-5-15
48,218435295,2761,Under Parole,2012-3-18
49,853012193,446,In Jail,2016-9-8
50,377941730,588,In Jail,1994-2-5
51,426643170,104,Under Parole,2012-3-15
52,276467428,456,In Jail,1996-4-24
53,652742373,902,Under Parole,2007-5-4
54,598871782,903,In Jail,2005-2-24
55,190574308,2044,In Jail,2017-4-11
56,233115361,2045,Arrested,2017-4-13
57,950169321,2043,Under Investigation,2016-12-3
58,767413993,904,Under Parole,2014-7-3
